it: 115, min: 3.671781301498413, max: 20.8158016204834, mean: 9.978919982910156, var: 5.524699687957764, global_min: 1.0813629627227783
it: 116, min: 2.201184034347534, max: 16.57268714904785, mean: 9.983022689819336, var: 5.0863213539123535, global_min: 1.0813629627227783
it: 117, min: 4.5196709632873535, max: 17.391712188720703, mean: 10.044541358947754, var: 4.9135613441467285, global_min: 1.0813629627227783
it: 118, min: 4.120781421661377, max: 15.87590503692627, mean: 10.210294723510742, var: 4.048018932342529, global_min: 1.0813629627227783
it: 119, min: 6.229559898376465, max: 17.117483139038086, mean: 10.446243286132812, var: 3.199341297149658, global_min: 1.0813629627227783
it: 120, min: 4.57181978225708, max: 15.553693771362305, mean: 10.637526512145996, var: 3.579563617706299, global_min: 1.0813629627227783
it: 121, min: 6.694389820098877, max: 15.417823791503906, mean: 10.547133445739746, var: 2.688042163848877, global_min: 1.0813629627227783
it: 122, min: 6.212244987487793, max: 15.558650016784668, mean: 10.527139663696289, var: 2.906618595123291, global_min: 1.0813629627227783
it: 123, min: 3.0607917308807373, max: 15.796609878540039, mean: 10.504226684570312, var: 3.530097007751465, global_min: 1.0813629627227783
it: 124, min: 5.532861709594727, max: 15.692085266113281, mean: 10.473058700561523, var: 3.941545248031616, global_min: 1.0813629627227783
